# X-COP per-point radial acceleration relation (RAR) dataset
# Twelve X-COP galaxy clusters; Einasto (EIN3) hydrostatic mass profiles.
#
# Source : Monjo 2025, ApJ 981, 195 (DOI 10.3847/1538-4357/adb723), from the X-COP Einasto
#          (EIN3) hydrostatic mass profiles (Eckert et al. 2022, A&A 662, A123; X-COP).
#
# Column definitions (exactly as used for the published chi^2 in fig2_table2.py):
#   r_kpc         = R_REF                                              [kpc]
#   gbar_si       = GN*Msol*MGAS         / (R_REF*kpc)^2               [m/s^2]  (gas-only baryonic Newtonian)
#   gobs_si       = GN*Msol*(M_DM+MGAS)  / (R_REF*kpc)^2               [m/s^2]  (total hydrostatic accel.)
#   sigma_gobs_si = (obs_HI - obs_LO)/2                                [m/s^2]
#       obs_HI = GN*Msol*(M_DM_HI+MGAS_HI)/(R_IN *kpc)^2 ; obs_LO = GN*Msol*(M_DM_LO+MGAS_LO)/(R_OUT*kpc)^2
#   FITS mass columns MGAS, M_DM (and _HI/_LO) are in solar masses; multiplied by Msol -> kg.
#   Values are already SI (m/s^2): GN[SI]*mass[kg]/radius[m]^2. No further unit rescaling. (a0 = 1.2e-10 m/s^2)
#
# Constants (verbatim from hmg_common.py):
#   c0=3e8 m/s ; Msol=1.9891e30 kg ; GN=6.674e-11 SI ; kpc=3261.8116478174*365*24*3600*c0 m = 3.085935e+19 m
#
# Window : only bins with R_REF >= 1000 kpc (lgR2 mask in fig2_table2.py), which define the
#          Table 2 published chi^2; per-cluster degrees of freedom df = N - 1.
# Grouping: keep per-cluster; fit each cluster separately. N per cluster:
#   A85      N=28
#   A644     N=22
#   A1644    N=27
#   A1795    N=29
#   A2029    N=31
#   A2142    N=31
#   A2255    N=29
#   A2319    N=29
#   A3158    N=26
#   A3266    N=27
#   RXC1825  N=26
#   ZW1215   N=25
# Total N = 330 over 12 clusters.
# Generated: 2026-08-06
#
# cluster  r_kpc  gbar_si  gobs_si  sigma_gobs_si
A3266       1315.2446   8.357074e-12   6.617945e-11   3.280304e-12
A3266       1368.9329   8.099480e-12   6.416493e-11   3.198613e-12
A3266       1424.8126   7.836089e-12   6.218474e-11   3.125269e-12
A3266       1482.9733   7.568076e-12   6.022436e-11   3.049940e-12
A3266       1543.5082   7.297331e-12   5.829317e-11   2.974239e-12
A3266       1606.5140   7.024791e-12   5.639462e-11   2.897541e-12
A3266       1672.0918   6.752351e-12   5.453102e-11   2.822873e-12
A3266       1740.3464   6.480871e-12   5.270611e-11   2.751301e-12
A3266       1811.3873   6.211565e-12   5.091410e-11   2.675868e-12
A3266       1885.3280   5.945350e-12   4.915411e-11   2.604718e-12
A3266       1962.2870   5.683544e-12   4.743020e-11   2.534134e-12
A3266       2042.3873   5.426696e-12   4.574554e-11   2.465538e-12
A3266       2125.7573   5.175877e-12   4.410319e-11   2.397981e-12
A3266       2212.5308   4.931140e-12   4.249764e-11   2.325282e-12
A3266       2302.8459   4.693375e-12   4.092776e-11   2.260008e-12
A3266       2396.8479   4.462748e-12   3.940263e-11   2.195338e-12
A3266       2494.6873   4.239786e-12   3.791351e-11   2.131076e-12
A3266       2596.5200   4.024741e-12   3.647040e-11   2.072086e-12
A3266       2702.5098   3.817363e-12   3.506605e-11   2.008573e-12
A3266       2812.8262   3.618140e-12   3.370045e-11   1.948439e-12
A3266       2927.6455   3.427365e-12   3.237321e-11   1.889259e-12
RXC1825     1036.3961   5.882848e-12   5.414688e-11   2.858913e-12
RXC1825     1078.4655   5.762132e-12   5.222940e-11   2.790446e-12
RXC1825     1122.2426   5.637932e-12   5.035960e-11   2.727284e-12
RXC1825     1167.7965   5.510969e-12   4.852857e-11   2.676522e-12
RXC1825     1215.1996   5.381381e-12   4.673588e-11   2.628982e-12
RXC1825     1264.5270   5.249406e-12   4.498311e-11   2.590862e-12
RXC1825     1315.8566   5.114917e-12   4.328576e-11   2.551844e-12
